Berri1,Boyer,CSC,Dame,Parc,PierDup,Ren,Urbain,University,Viger
32,0,0,1,5,1,12,38,14,11
68,0,0,2,16,6,16,67,30,14
78,3,0,0,6,1,25,21,25,5
118,6,2,0,46,0,49,4,111,29
183,2,2,2,110,5,77,11,158,44
305,3,45,11,126,3,120,29,224,62
425,0,70,13,164,5,155,34,313,73
393,1,77,10,131,3,157,75,310,66
139,7,34,0,42,8,38,78,100,19
136,30,59,12,55,10,42,80,73,9
393,31,93,12,222,6,133,193,340,60
398,12,129,18,206,8,139,125,286,73
324,0,72,1,227,6,112,6,234,46
347,1,76,16,142,8,106,1,274,45
367,0,70,18,115,1,123,3,221,56
113,0,20,6,29,7,32,2,70,11
111,0,13,3,28,4,35,4,65,10
340,0,72,11,99,1,105,1,151,38
271,0,28,19,112,2,83,0,153,42
376,0,83,31,139,0,110,119,232,76
450,4,75,42,163,0,133,112,281,46
400,5,78,26,185,0,147,117,230,49
146,3,25,11,55,0,40,62,70,15
116,4,27,6,57,0,43,67,58,18
441,2,164,35,287,4,157,183,354,48
417,15,109,42,257,4,153,166,311,64
460,25,143,41,272,4,192,221,341,81
419,22,132,35,263,9,170,269,396,53
421,16,140,35,264,11,153,195,312,58
136,6,35,15,76,11,52,106,119,18
180,46,82,24,122,29,81,166,156,19
559,70,251,39,384,31,200,270,522,90
607,54,221,73,442,25,199,337,557,76
267,16,74,23,166,8,94,61,169,48
613,91,246,69,467,16,201,306,526,83
517,64,185,59,406,28,172,302,470,75
157,5,50,9,67,7,55,74,85,10
145,2,8,6,66,8,44,85,74,19
413,4,38,41,288,8,142,198,374,59
422,2,60,41,276,10,139,156,318,52
409,0,101,42,280,5,158,56,304,60
396,0,34,41,172,3,137,26,340,48
298,0,36,32,137,6,112,21,248,65
63,0,2,5,27,0,9,1,48,6
103,1,0,11,28,2,18,0,28,9
286,0,35,35,148,10,102,0,238,59
129,1,25,5,12,0,39,0,44,17
264,0,36,0,182,7,30,0,181,32
362,4,14,21,198,2,107,0,240,58
396,1,63,20,200,2,124,34,228,54
89,4,12,2,18,4,16,53,58,7
112,6,18,8,50,19,49,94,20,11
382,8,38,24,219,9,135,181,0,61
415,11,51,29,239,5,145,231,0,63
255,2,16,8,70,6,78,26,0,37
207,0,2,8,76,2,47,34,75,50
212,1,0,8,50,6,65,5,118,37
117,0,0,5,11,5,3,15,56,8
94,0,1,2,3,3,7937,5,47,8
143,1,1,7,27,6,69,2,122,44
247,0,0,14,52,6,92,1,176,47
171,3,0,14,3,1,3,1,86,28
218,1,0,15,6,4,55,81,147,62
288,1,0,20,4,11,151,129,152,52
142,12,3,8,5,12,42,85,65,18
165,3,2,12,5,30,52,99,80,17
306,2,11,23,44,6,100,88,246,52
455,4,47,25,53,12,165,267,76,66
549,34,196,31,332,13,228,321,290,76
579,48,269,50,417,25,238,345,0,71
674,49,275,62,515,68,229,380,0,78
484,80,242,55,392,209,174,372,298,48
