Date,X2,Berri1,Boyer,CSC,Dame,Parc,PierDup,Rachel,Ren,Urbain,University,Viger
01/01/2016,00:00:00,32,0,0,1,5,1,NA,12,38,14,11
02/01/2016,00:00:00,68,0,0,2,16,6,NA,16,67,30,14
03/01/2016,00:00:00,78,3,0,0,6,1,NA,25,21,25,5
04/01/2016,00:00:00,118,6,2,0,46,0,NA,49,4,111,29
05/01/2016,00:00:00,183,2,2,2,110,5,NA,77,11,158,44
06/01/2016,00:00:00,305,3,45,11,126,3,NA,120,29,224,62
07/01/2016,00:00:00,425,0,70,13,164,5,NA,155,34,313,73
08/01/2016,00:00:00,393,1,77,10,131,3,NA,157,75,310,66
09/01/2016,00:00:00,139,7,34,0,42,8,NA,38,78,100,19
10/01/2016,00:00:00,136,30,59,12,55,10,NA,42,80,73,9
11/01/2016,00:00:00,393,31,93,12,222,6,NA,133,193,340,60
12/01/2016,00:00:00,398,12,129,18,206,8,NA,139,125,286,73
13/01/2016,00:00:00,324,0,72,1,227,6,NA,112,6,234,46
14/01/2016,00:00:00,347,1,76,16,142,8,NA,106,1,274,45
15/01/2016,00:00:00,367,0,70,18,115,1,NA,123,3,221,56
16/01/2016,00:00:00,113,0,20,6,29,7,NA,32,2,70,11
17/01/2016,00:00:00,111,0,13,3,28,4,NA,35,4,65,10
18/01/2016,00:00:00,340,0,72,11,99,1,NA,105,1,151,38
19/01/2016,00:00:00,271,0,28,19,112,2,NA,83,0,153,42
20/01/2016,00:00:00,376,0,83,31,139,0,NA,110,119,232,76
21/01/2016,00:00:00,450,4,75,42,163,0,NA,133,112,281,46
22/01/2016,00:00:00,400,5,78,26,185,0,NA,147,117,230,49
23/01/2016,00:00:00,146,3,25,11,55,0,NA,40,62,70,15
24/01/2016,00:00:00,116,4,27,6,57,0,NA,43,67,58,18
25/01/2016,00:00:00,441,2,164,35,287,4,NA,157,183,354,48
26/01/2016,00:00:00,417,15,109,42,257,4,NA,153,166,311,64
27/01/2016,00:00:00,460,25,143,41,272,4,NA,192,221,341,81
28/01/2016,00:00:00,419,22,132,35,263,9,NA,170,269,396,53
29/01/2016,00:00:00,421,16,140,35,264,11,NA,153,195,312,58
