OBECJTID,COUNTY,SCHOOL,ADDRESS,ROLL_NUMBE,PHONE,ENROLLMENT,GENDER,GAELTACHT,DENOMINATI,DIOCESE,PARISH,EASTING_,NORTHING
9,Dublin Fingal,ST BRIGIDS MXD N S,CASTLEKNOCK  DUBLIN 15,00697S,01 8214040,784,Mixed,Ordinary School,CATHOLIC,DUBLIN,CASTLEKNOCK,309052.109,237325.229
10,Dublin Belgard/South,LUCAN B N S,LUCAN  CO DUBLIN,00714P,01 6281857,535,Boys,Ordinary School,CATHOLIC,DUBLIN,LUCAN,303668.595,235478.395
11,Dublin Belgard/South,CLOCHAR LORETO N S,GRANGE ROAD  RATHFARNHAM  DUBLIN 14,00729F,01 4931640,522,Girls,Ordinary School,CATHOLIC,DUBLIN,RATHFARNHAM,314752.013,228247.239
12,Dublin City,MATER DEI PRIMARY SCHOOL,BASIN LANE  JAMES STREET  DUBLIN 8,00743W,01 4548461,232,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,JAMES'S STREET,313937.084,233576.159
32,Dublin Fingal,S N NA H-AILLE,THE NAUL  CO DUBLIN,01170G,01 8413821,81,Mixed,Ordinary School,CATHOLIC,DUBLIN,NAUL,313600.531,260123.047
62,Dublin City,CENTRAL INFS SCHOOL,MARLBORO ST  DUBLIN 1,01795A,01 8788344,119,Mixed,Ordinary School,CATHOLIC,DUBLIN,PRO-CATHEDRAL,316191.000,234838.000
93,Dun Laoghaire - Rathdown,ST MARYS NATIONAL SCHOOL,LAMBS CROSS SANDYFORD DUBLIN 18,02872U,01 2954173,101,Mixed,Ordinary School,CATHOLIC,DUBLIN,SANDYFORD,318343.991,227244.271
101,Dublin Belgard/South,BALLYROAN    B N S,BALLYROAN  RATHFARNHAM  DUBLIN 16,03359N,01 4931805,278,Boys,Ordinary School,CATHOLIC,DUBLIN,BALLYROAN,313796.168,227565.532
107,Dublin City,NAOMH PADRAIG BOYS,CAMBRIDGE ROAD  RINGSEND  DUBLIN 4,03917V,01 6606825,91,Boys,Ordinary School,CATHOLIC,DUBLIN,RINGSEND,318248.408,234019.462
139,Dublin City,SCOIL AN CROI NAOFA,GLASNEVIN  DUBLIN 11,04992R,01 8379586,463,Boys,Ordinary School,CATHOLIC,DUBLIN,BALLYGALL,314873.893,238474.193
158,Dun Laoghaire - Rathdown,CLOCHAR SAN DOMINIC,DUNLAOGHAIRE  CO DUBLIN,05600C,01 2809011,192,Mixed,Ordinary School,CATHOLIC,DUBLIN,DUN LAOGHAIRE,324207.237,228467.877
167,Dublin City,PRESENTATION PRIMARY SCHOOL,GEORGES HILL  DUBLIN 7,05933G,01 8733061,198,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,HALSTON STREET & ARRAN QUAY,315140.340,234486.454
175,Dun Laoghaire - Rathdown,BOOTERSTOWN BOYS,BOOTERSTOWN  BLACKROCK  CO DUBLIN,06200O,01 2886830,210,Boys,Ordinary School,CATHOLIC,DUBLIN,BOOTERSTOWN,320101.563,230229.031
215,Dublin City,GOLDENBRIDGE CONVENT,GOLDENBRIDGE  INCHICORE  DUBLIN 8,07546J,01 4541265,242,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,"INCHICORE,ST MICHAEL'S",312020.556,233117.124
285,Dublin Fingal,BALSCADDEN N S,BALSCADDEN  RING COMMONS  CO DUBLIN,09492W,01 8412579,234,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALBRIGGAN,317040.375,264260.938
287,Dublin Fingal,BURROWS N S,SUTTON  DUBLIN 13,09642P,01 8325784,215,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,326432.695,239560.142
294,Dublin City,ST JOSEPHS BOYS N S,TERENURE  DUBLIN 6,09750S,01 4906905,496,Boys,Ordinary School,CATHOLIC,DUBLIN,TERENURE,314559.920,230169.487
305,Dublin City,STANHOPE ST CONVENT,STANHOPE STREET  DUBLIN 7,09932B,01 6716686,378,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,AUGHRIM STREET,314477.600,234895.588
323,Dublin Fingal,SCOIL NAOMH MEARNOG,STRAND ROAD  PORTMARNOCK  CO DUBLIN,10296G,01 8462060,261,Mixed,Ordinary School,CATHOLIC,DUBLIN,PORTMARNOCK,324033.780,242940.692
328,Dun Laoghaire - Rathdown,ALL SAINTS N S,CARYSFORT AVE  BLACKROCK  CO DUBLIN,10494K,01 2885355,53,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,321360.670,228079.246
339,Dublin City,CHAPELIZOD N S,CHAPELIZOD  DUBLIN 20,10653E,01 6267774,29,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,310279.149,234590.328
394,Dublin City,ST PATRICKS N SCHOOL,DRUMCONDRA  DUBLIN 9,11525A,01 8372714,488,Boys,Ordinary School,CATHOLIC,DUBLIN,DRUMCONDRA,315979.117,236945.290
396,Dublin City,CITY QUAY BOYS N S,CITY QUAY  DUBLIN 2,11578V,01 6713754,152,Mixed,Ordinary School,CATHOLIC,DUBLIN,CITY QUAY,316508.775,234331.642
398,Dublin Fingal,ST ANDREWS N S,MALAHIDE  CO DUBLIN,11583O,01 8450185,217,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,322762.360,245879.970
401,Dublin Belgard/South,WHITECHURCH NAT SCHOOL,WHITECHURCH  RATHFARNHAM  DUBLIN 16,11638N,01 4942177,149,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,314646.000,225971.078
409,Dublin City,ST LAURENCE O TOOLE JUNIOR BOYS,SEVILLE PLACE  DUBLIN 1,11776C,01 8364577,73,Boys,Ordinary School,CATHOLIC,DUBLIN,SEVILLE PLACE,317085.043,234849.187
414,Dun Laoghaire - Rathdown,RATHMICHAEL N S,RATHMICHAEL  SHANKILL  CO DUBLIN,11873A,01 2824794,223,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,325061.471,222247.714
416,Dublin City,SCOIL MHUIRE,15 GILFORD ROAD  SANDYMOUNT  DUBLIN 4,11894I,01 2695273,274,Girls,Ordinary School,CATHOLIC,DUBLIN,SANDYMOUNT,319165.023,232351.705
429,Dublin Belgard/South,ST ANDREWS N S,LUCAN  CO DUBLIN,12014D,01 6280975,235,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,303937.683,235560.048
461,Dublin Fingal,SWORDS BOROUGH N S,SWORDS BOROUGH N S  SWORDS  CO DUBLIN,12358M,01 8407036,110,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,318077.406,246712.203
472,Dublin City,GARDINER STREET CONVENT,GARDINER STREET  DUBLIN 1,12448N,01 8722894,292,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,GARDINER STREET,315972.393,235597.287
507,Dublin City,KILDARE PLACE  N S,96 UPPER RATHMINES RD  DUBLIN 6,12755W,01 4065466,214,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,315764.000,231187.000
552,Dublin Belgard/South,HOLY FAMILY NATIONAL SCHOOL,RATHCOOLE  CO DUBLIN,13217W,01 4580570,302,Mixed,Ordinary School,CATHOLIC,DUBLIN,SAGGART,301724.156,226600.891
585,Dublin Belgard/South,SCOIL MHUIRE,LUCAN  CO DUBLIN,13447Q,01 6280056,635,Girls,Ordinary School,CATHOLIC,DUBLIN,LUCAN,303914.885,235411.486
604,Dublin City,PRESENTATION PRIMARY SCHOOL,BLACKPITTS  DUBLIN 8,13611D,01 4539547,320,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,FRANCIS STREET,314871.011,233070.669
605,Dublin City,PRESENTATION PRIMARY SCHOOL,TERENURE  DUBLIN 6W,13612F,01 4906813,587,Girls,Ordinary School,CATHOLIC,DUBLIN,TERENURE,314151.777,230269.985
645,Dublin City,HOWTH RD MXD N S,HOWTH RD  CLONTARF  DUBLIN 3,13815T,01 8335124,90,Mixed,Ordinary School,PRESBYTERIAN,DUBLIN & GLENDALOUGH,,318134.768,236332.142
